id,accept_final_offers,accepting_final_offers_end_at,accepting_final_offers_start_at,accepting_final_offers_initial_offer,active_listing_valuation_id,asset,buy_now_price,buy_now_price_multiple,buy_now_price_multiple_source,custom_earnings_by_region_chart,default_buy_now_price,earnings_file,expiration,featured_source,generic_financials,hidden,included_rights,is_eligible_to_withdraw_offers_placed_before_update,is_featured,is_in_feature_queue,is_owner,is_track_list_hidden,kind,marketplace_median,marketplace_median_multiplier,marketplace_median_source,minimum_price,offers_awaiting_acceptance,offers_received_count,other_info,owner_last_active_date,performing_artist_analysis,proxy_increment_amount,published_date,requested_buy_now_price,royx_take,seller_id,state,term,term_expiration,term_return_amount,thumbnail_large,title,track_count,unique_bidder_count,valuation_description,last_websocket_message_published_at,Listing ID
5699,True,,,,733390,28131,25600.00,5.99,ltm,,,,,,,False,,False,False,False,False,False,secondary_listing,,,,23000.00,False,5,,2024-07-21T10:48:18.887058Z,,300.00,2024-05-24T18:48:36.898408Z,,0.0640,38121,filled,life_of_rights,,,,"Lil Durk's ""Petty Too"" - Songwriter Royalties",2,1,,2025-01-16T20:26:35.412743Z,5699
5677,True,,,,733822,27826,21944.27,4.84,ltm,,14200.0,,2024-07-17T06:00:00Z,,,False,,False,False,False,False,False,direct_listing,"**,***",,,10000.00,False,6,"<p><strong>Distribution Schedule:</strong> PRS regularly distributes royalties four times per year: April, July, October, and December. PRS may pay &quot;out of cycle&quot; distributions at various times of the year. These dates are estimated. As the winning bidder, you&#39;ll be entitled to all scheduled and &quot;out of cycle&quot; distributions.&nbsp;<br />
Payments are represented by quarter in the financial bar charts of this listing based on the below dates.<br />
&nbsp;</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%;"">
	<thead>
		<tr>
			<th scope=""col"">
			<p><strong>Quarter</strong></p>
			</th>
			<th scope=""col"">
			<p><strong>Payment Month</strong></p>
			</th>
			<th scope=""col"">
			<p><strong>Scheduled Distribution</strong></p>
			</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td>1Q</td>
			<td>Jan-April</td>
			<td>April</td>
		</tr>
		<tr>
			<td>2Q</td>
			<td>May-July</td>
			<td>July</td>
		</tr>
		<tr>
			<td>3Q</td>
			<td>Aug-Oct</td>
			<td>October</td>
		</tr>
		<tr>
			<td>4Q</td>
			<td>Nov-Dec</td>
			<td>December</td>
		</tr>
	</tbody>
</table>

<div>
<table style=""border:none; border-collapse:collapse"" width=""612"">
	<colgroup>
		<col width=""121"" />
		<col width=""208"" />
		<col width=""283"" />
	</colgroup>
</table>
</div>

<p><br />
<strong>Exchange Rates. </strong>Royalties for this asset are reported by PRS in Great British Pounds (GBP). To calculate royalty payments in U.S. Dollars (USD), Royalty Exchange applies the average historical exchange rate for the distribution month (via X-rates.com).<br />
<br />
Future royalties will be paid to Royalty Exchange in GBP converted to USD upon receipt, and then paid in USD to the winning investor. The receiving bank may increase the exchange rate by up to 2.5% as a transaction fee.&nbsp;</p>

<p><em>This catalog will not be automatically added to the Secondary Market of The Exchange. The winning bidder can contact Royalty Exchange to relist.&nbsp;</em><br />
&nbsp;</p>",2024-05-13T16:16:47.396702Z,"<p>&ldquo;Gonna Be Alright&rdquo; by Ryan Ellis was released on May 13th, 2022. It blends contemporary Christian pop with elements of gospel, featuring a mix of acoustic instruments and subtle electronic sounds. This combination supports the uplifting message without overwhelming it.<br />
<br />
Chris McClarney is a contemporary Christian musician, songwriter, and worship leader known for his powerful vocals and heartfelt lyrics. He gained prominence in the Christian music scene through his involvement in leading worship at influential churches and events. &quot;Speak to the Mountains&#39;&#39; was released on May 28th, 2021 as part of McClarney&#39;s EP of the same name. It emphasizes faith and resilience through the metaphor of speaking to mountains, a biblical reference that suggests the power of faith to overcome obstacles. &nbsp;</p>

<p>Every Victory&quot; by The Belonging Co, featuring Danny Gokey, is a contemporary worship song that has made a notable impact within the Christian music community. It was released on February 5, 2021, as part of The Belonging Co&#39;s third live album &quot;See the Light.&quot; The song has achieved commercial success, debuting at No. 40 on the US Hot Christian Songs chart and peaking at No. 29.</p>",300.00,2024-05-10T17:00:34.550775Z,,0.1708,144624,filled,life_of_rights,,,,"Ryan Ellis, Chris McClarney, The Belonging Co + More Songwriter Royalties",41,2,5330.0,2025-01-16T20:26:35.412743Z,5677
5757,True,,,,731577,28670,8500.00,6.74,ltm,,7400.0,,2024-08-30T06:00:00Z,,,False,,False,False,False,False,False,direct_listing,"*,***",,,2000.00,False,15,"<p><strong>Earnings note.</strong>&nbsp;The last 12 months&#39; earnings include payments for prior periods totaling $538.</p>

<p><em>This catalog will not be automatically added to the Secondary Market of The Exchange. The winning bidder can contact Royalty Exchange to relist.&nbsp;</em></p>
",2024-07-10T19:49:26.823593Z,"<p>&quot;New Ones (feat. NoCap)&quot; is a standout track from Quando Rando&rsquo;s 2019 album <em>From the Neighborhood to the Stage</em>. The song features a collaboration with rapper NoCap and explores themes of loyalty, loss, and the pursuit of success. &quot;Time For&quot; was released as part of his 2020 mixtape <em>Diary of a Lost Child</em>. It showcases Quando Rondo&#39;s introspective style and emotional depth. &quot;How&#39;d I Make It&quot; was released as a single in 2020. It highlights his unique talent for blending introspective lyrics with melodic rap.</p>
",100.00,2024-07-08T17:00:16.914030Z,,0.1500,48701,filled,life_of_rights,,,https://dh22twu0ekfg6.cloudfront.net/media/orderbook/listings/5757/hq720_large.jpg,Quando Rondo - Producer Royalties,5,7,5458.0,2025-01-16T20:26:35.412743Z,5757
5714,True,,,,729101,28000,200000.00,9.06,ltm,,251600.0,,2024-07-15T06:00:00Z,,,False,,False,False,False,False,False,direct_listing,"***,***",,,55000.00,False,19,"<p><strong>Earnings Note.</strong> The seller switched from TuneCore to STEM in Sept-2022.</p>

<p><em>This catalog will not be automatically added to the Secondary Market of The Exchange. The winning bidder can contact Royalty Exchange to relist.</em></p>",2024-07-09T18:57:09.757503Z,"<p>NoMBe is&nbsp;a German-born, Los Angeles-based artist, who features a&nbsp;unique blend of electronic, rock, R&amp;B, and pop music and has received critical acclaim for his&nbsp;genre-blending sound and heartfelt lyrics,&nbsp;garnering hundreds of&nbsp;millions of streams on platforms like Spotify and Apple Music. NoMBe&#39;s songs have been featured in TV shows such as &quot;Ballers&quot; and &quot;Dear White People,&quot; as well as in advertisements for&nbsp;Apple, contributing to his commercial success and cultural impact. His strategic release of singles and strong social media presence has helped build a dedicated fanbase, highlighting his originality and influence in modern music.</p>",1200.00,2024-06-17T17:28:56.367799Z,,0.1000,145958,filled,life_of_rights,,,,NoMBe - Sound Recording Royalties,11,3,5391.0,2025-01-16T20:26:35.412743Z,5714
5697,True,,,,729147,28088,7875.30,5.25,ltm,,10100.0,,2024-08-16T06:00:00Z,,,False,,False,False,False,False,False,direct_listing,"*,***",,,5000.00,False,7,"<p><strong>Two Statement Sources.</strong> Royalties include payments from ASCAP for US-based performances and BMI for performances outside of the US. The winning bidder will receive payments from both BMI and ASCAP administered by Royalty Exchange.&nbsp;<br />
<br />
<strong>Distribution Schedule:</strong> BMI and ASCAP both pay Quarterly. BMI&rsquo;s schedule is available <a href=""https://www.bmi.com/creators/royalty/how_we_pay_royalties"">here</a>. ASCAP&rsquo;s schedule is available <a href=""https://www.ascap.com/distributionschedule"">here</a>.&nbsp;</p>

<p><em><strong>This catalog will not be automatically added to the Secondary Market of The Exchange. The winning bidder can contact Royalty Exchange to relist.</strong></em><br />
&nbsp;</p>",2024-05-23T19:32:38.773772Z,"<p>Jenna Davis is a multifaceted American actress, singer, voice-over artist, and social media influencer. She gained widespread recognition for her role as the voice of the titular character in the 2022 horror film <em>M3GAN</em>. Her music often explores themes of personal growth, relationships, and self-empowerment. &quot;16&quot; was released on September 25, 2020 as a single. The song is a heartfelt reflection on the experiences and emotions associated with being 16 years old. &quot;Player&quot; is another single by Davis, released on May 30, 2021. The song narrates the experience of dealing with someone who manipulates and plays with others&#39; emotions.&nbsp;</p>
",100.00,2024-05-23T17:00:22.552429Z,,0.1500,145011,filled,30_year,2054-07-09T18:54:28.836904Z,,,Jenna Davis + More Songwriter Royalties,9,2,5367.0,2025-01-16T20:26:35.412743Z,5697
5758,True,,,,723512,27227,34000.00,10.79,ltm,,34100.0,,2024-07-15T06:00:00Z,,,False,,False,False,False,False,False,secondary_listing,"**,***",,,12177.76,False,2,"<p>Distribution Schedule: PRS regularly distributes royalties four times per year: April, July, October, and December. PRS may pay &quot;out of cycle&quot; distributions at various times of the year. These dates are estimated. As the winning bidder, you&#39;ll be entitled to all scheduled and &quot;out of cycle&quot; distributions.&nbsp;</p>

<p>Payments are represented by quarter in the financial bar charts of this listing based on the below dates.</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%;"">
	<thead>
		<tr>
			<th scope=""col"">Quarter</th>
			<th scope=""col"">Payment Month</th>
			<th scope=""col"">Scheduled Distribution</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td>1Q</td>
			<td>Jan - April</td>
			<td>April</td>
		</tr>
		<tr>
			<td>2Q</td>
			<td>May - July</td>
			<td>July</td>
		</tr>
		<tr>
			<td>3Q</td>
			<td>Aug - Oct</td>
			<td>October</td>
		</tr>
		<tr>
			<td>4Q</td>
			<td>Nov - Dec</td>
			<td>December</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>

<p><strong>Exchange Rates. </strong>Royalties for this asset are reported by PRS in Great British Pounds (GBP). To calculate royalty payments in U.S. Dollars (USD), Royalty Exchange applies the average historical exchange rate for the distribution month (via X-rates.com).</p>

<p>Future royalties will be paid to Royalty Exchange in GBP converted to USD upon receipt, and then paid in USD to the winning investor. The receiving bank may increase the exchange rate by up to 2.5% as a transaction fee.&nbsp;</p>

<p><em><strong>This catalog will not be automatically added to the Secondary Market of The Exchange. The winning bidder can contact Royalty Exchange to relist.&nbsp;</strong></em></p>",2024-07-08T21:36:23.774720Z,"<p>This catalog showcases rock bands from across the globe, featuring the dynamic sounds of Japan&#39;s One Ok Rock, the American-based Sleeping With Sirens, Australia&#39;s 5 Seconds of Summer, and the UK&#39;s Lower Than Atlantis.&nbsp;<br />
<br />
One Ok Rock is a Japanese rock band formed in Tokyo in 2005. The included song, &quot;Eye of the Storm,&rdquo; released in 2019, is the title track from their ninth studio album of the same name. This album marked a significant shift in the band&#39;s sound, incorporating more pop and electronic elements compared to their previous rock-oriented works. The song itself exemplifies this change, featuring a blend of electronic beats, softer melodies, and emotive lyrics that reflect themes of resilience, hope, and pushing through difficult times.</p>

<p>&quot;Leave It All Behind,&quot; performed by&nbsp;Sleeping With Sirens served as the lead single for their sixth studio album&nbsp;<em>How It Feels to Be Lost</em>, released on June 19, 2019. The song showcased a return to the band&#39;s post-hardcore roots, featuring heavier instrumentals and more aggressive vocals and received attention for its emotional depth, dealing with themes of facing and overcoming personal demons and struggles.</p>

<p>Lower Than Atlantis is a British rock band from Watford, Hertfordshire, formed in 2007. They are known for their blend of rock, alternative rock, and punk influences, crafting a sound that resonated with a wide range of listeners. This catalog features songs from their entire discography which include the albums,&nbsp;<em>Far Q</em>,&nbsp;<em>World Record</em>,&nbsp;<em>Changing Tune</em>,&nbsp;<em>Lower Than Atlantis</em>&nbsp;and&nbsp;<em>Safe In Sound</em>. &quot;Get Over It,&rdquo; and &ldquo;Here We Go&rdquo; are both from their self-titled album, released in 2014. The album represented a pivotal moment for Lower Than Atlantis, showcasing a mix of hard-hitting rock anthems and melodic tunes that broadened their appeal.</p>
",200.00,2024-07-02T21:30:44.713503Z,,0.0640,65534,filled,life_of_rights,,,https://dh22twu0ekfg6.cloudfront.net/media/orderbook/listings/5758/2016_09_11_11736_1473595180_large_large_large.jpg,"One Ok Rock, Lower Than Atlantis + More Rock Royalties",75,2,,2025-01-16T20:26:35.412743Z,5758
5621,True,,,,731288,27180,68500.00,4.11,ltm,,,,,,,False,,False,False,False,False,False,secondary_listing,,,,60000.00,False,5,,2024-07-07T06:26:54.772430Z,,900.00,2024-04-05T15:20:23.816180Z,,0.0640,143508,filled,life_of_rights,,,,"Kane Brown's ""Grand"" - Songwriter Royalties",1,1,,2025-01-16T20:26:35.412743Z,5621
5739,True,,,,730578,27762,88000.00,9.59,ltm,,104600.0,,2024-07-15T06:00:00Z,,,False,,False,False,False,False,False,direct_listing,"**,***",,,45000.00,False,5,"<p><strong>Earnings Data Note.</strong> Some of the earnings were reported by the payor without territory information and are labeled &ldquo;Unreported&rdquo; in the Financial Bar Chart below. Statement data is only available back to January 2022.</p>

<p><em>This catalog will not be automatically added to the Secondary Market of The Exchange. The winning bidder can contact Royalty Exchange to relist.&nbsp;</em><br />
&nbsp;</p>",2024-07-05T01:26:51.496390Z,"<p>Jonathan Thulin is a notable figure in the contemporary Christian music scene. His work is celebrated for its unique blend of pop and electronic music, infused with deep lyrical content that often explores themes of faith, hope, and redemption. Throughout his career, Thulin has received critical acclaim and several nominations for prestigious awards. Notably, he was nominated for three We Love Christian Music Awards, including Best Male Artist, Best Collaboration for &quot;Dead Come to Life&quot; (featuring Charmaine), and Best Music Video for &quot;Bombs Away&quot; (featuring Rachael Lampa). This listing includes all the songs from Jonathan Thulin&#39;s most notable albums: <em>The Anatomy of a Heartflow&nbsp;</em>(2012),&nbsp;<em>The White Room&nbsp;</em>(2013), and&nbsp;<em>Science Fiction&nbsp;</em>(2015).</p>

<p>&quot;Jekyll and Hyde&quot; was released in 2015 as part of Thulin&#39;s album <em>Science Fiction</em>. The song features New Zeeland Christian band, Rapture Ruckus and explores the internal struggle between conflicting parts of one&#39;s personality, much like the famous characters Dr. Jekyll and Mr. Hyde. &quot;Hat Trick,&rdquo; featuring Derek Minor, is another standout track from <em>Science Fiction</em>. Thulin&#39;s evocative lyrics are complemented by Derek Minor&#39;s rap, which adds depth to the narrative by highlighting the pressures and consequences of maintaining a facade. &quot;Architecture&quot; was released in 2013 as part of the album <em>The White Room</em>. It is a powerful and introspective track that explores themes of love, support, and resilience.&nbsp;</p>",500.00,2024-06-25T17:01:01.302201Z,,0.1500,62374,filled,life_of_rights,,,https://dh22twu0ekfg6.cloudfront.net/media/orderbook/listings/5739/17549_large.webp,Jonathan Thulin - Sound Recording Royalties,44,3,5430.0,2025-01-16T20:26:35.412743Z,5739
5691,True,,,,730787,27802,,,,,28000.0,,2024-08-16T06:00:00Z,,,False,,False,False,False,False,False,direct_listing,"**,***",,,12500.00,False,7,,2024-07-02T16:36:36.174255Z,"<p>&#39;Dark Clouds&#39; by Rod Wave, a standout track from his 2020&nbsp;album &#39;Pray 4 Love,&#39; has significantly impacted the hip-hop and rap scene. The song, known for its heartfelt lyrics and Rod Wave&#39;s soulful delivery, has resonated deeply with fans, becoming a social media favorite.&nbsp;The track charted on the Billboard Hot 100 and contributed to the album&#39;s peak at number 2&nbsp;on the Billboard 200, achieving&nbsp;Certified Platinum by the RIAA.&nbsp;The song&#39;s success highlights the growing trend of melodic rap, blending singing and rapping, and&nbsp;has been prominently featured in music blogs, reviews, and social media, cementing Rod Wave&#39;s reputation as an impactful artist.</p>

<p>&#39;Can&#39;t Take It (Ima Gangsta)&#39; by Mozzy, a standout track from his 2017&nbsp;album &#39;1 Up Top AHK,&#39; features a&nbsp;raw depiction of street life and gang culture.&nbsp;The song has garnered substantial streaming numbers and contributed to the album peaking at number 68&nbsp;on the Billboard 200.&nbsp;&#39;Can&#39;t Take It (Ima Gangsta)&#39; has been well-received by fans for its honesty and energy, featured in playlists, documentaries, and social media, cementing Mozzy&#39;s reputation as a compelling voice in hip-hop.</p>
",200.00,2024-06-28T17:00:08.162418Z,,0.1250,41087,filled,life_of_rights,,,,"Rod Wave, Mozzy, Chris Brown + more - Songwriter Royalties",33,6,5447.0,2025-01-16T20:26:35.412743Z,5691
5623,True,,,,730097,27187,15450.00,8.03,ltm,,13300.0,,,,,False,,False,False,False,False,False,secondary_listing,"**,***",,,14000.00,False,8,,2024-06-30T22:49:26.144430Z,,100.00,2024-04-05T18:23:27.857662Z,,0.0640,65534,filled,partial_30_year,2054-03-22T02:49:16.119110Z,,,"Tisoki, Aitana, Cami + More - Songwriting Royalties",101,6,,2025-01-16T20:26:35.412743Z,5623
