Listing ID,timestamp,amount,multiple,state,kind,bidder_index
5699,2024-07-21T09:58:07.472155Z,,5.8,filled,buyer_counteroffer,1
5699,2024-07-21T09:54:57.776135Z,,5.85,fail_offer_rejected,seller_counteroffer,1
5699,2024-07-21T09:41:42.783344Z,,5.75,fail_counteroffer_made,bid_offer,1
5699,2024-07-11T16:43:58.116587Z,,5.42,fail_offer_timeout,bid_offer,1
5699,2024-07-02T22:03:51.341028Z,,5.42,fail_offer_timeout,bid_offer,1
5699,2024-05-25T12:06:34.007054Z,,3.74,fail_offer_auto_rejected,bid_offer,1
5677,2024-07-16T21:17:04.111679Z,,4.84,filled,bid_offer,1
5677,2024-06-13T21:23:03.823406Z,,4.84,fail_transfer,bid_offer,1
5677,2024-05-13T16:16:47.339369Z,,4.84,fail_transfer,seller_counteroffer,1
5677,2024-05-13T16:16:36.019295Z,,4.84,fail_offer_rejected,seller_counteroffer,2
5677,2024-05-10T20:33:02.824756Z,,3.58,fail_offer_rejected,bid_offer,1
5677,2024-05-10T20:30:09.926100Z,,3.34,fail_offer_rejected,bid_offer,2
5677,2024-05-10T17:30:09.370849Z,,3.2,fail_offer_increased,bid_offer,1
5677,2024-05-10T17:07:28.051470Z,,1.26,fail_offer_auto_rejected,bid_offer,1
5757,2024-07-10T19:44:38.919333Z,,5.15,filled,buyer_counteroffer,4
5757,2024-07-10T19:40:51.748065Z,,5.27,fail_offer_rejected,seller_counteroffer,4
5757,2024-07-10T19:21:48.648083Z,,5.07,fail_counteroffer_made,buyer_counteroffer,4
5757,2024-07-10T19:01:42.842310Z,,5.83,fail_counteroffer_made,seller_counteroffer,4
5757,2024-07-10T18:52:15.216834Z,,4.91,fail_counteroffer_made,buyer_counteroffer,4
5757,2024-07-10T18:51:07.272745Z,,6.46,fail_offer_rejected,seller_counteroffer,5
5757,2024-07-10T18:49:32.268051Z,,6.46,fail_offer_rejected,seller_counteroffer,7
5757,2024-07-10T18:49:13.119535Z,,6.46,fail_offer_rejected,seller_counteroffer,6
5757,2024-07-10T18:48:52.448880Z,,6.46,fail_counteroffer_made,seller_counteroffer,4
5757,2024-07-09T23:20:53.364983Z,,4.37,fail_offer_rejected,bid_offer,6
5757,2024-07-09T23:20:52.265193Z,,4.8,fail_counteroffer_made,bid_offer,4
5757,2024-07-09T18:35:20.478305Z,,4.28,fail_offer_increased,bid_offer,6
5757,2024-07-09T18:35:20.035063Z,,4.2,fail_offer_rejected,bid_offer,7
5757,2024-07-09T17:56:10.232124Z,,4.16,fail_offer_increased,bid_offer,6
5757,2024-07-09T17:56:09.710291Z,,4.12,fail_offer_increased,bid_offer,4
5757,2024-07-09T17:44:29.858283Z,,3.92,fail_offer_increased,bid_offer,6
5757,2024-07-09T16:44:25.860341Z,,3.84,fail_offer_rejected,bid_offer,5
5757,2024-07-09T12:17:35.397787Z,,3.8,fail_offer_increased,bid_offer,4
5757,2024-07-09T01:56:47.702750Z,,3.17,fail_offer_rejected,bid_offer,3
5757,2024-07-08T23:26:04.057322Z,,2.77,fail_offer_rejected,bid_offer,2
5757,2024-07-08T20:14:29.125709Z,,2.38,fail_offer_rejected,bid_offer,1
5714,2024-07-09T18:57:09.722123Z,,8.83,filled,seller_counteroffer,2
5714,2024-07-09T18:56:56.974641Z,,8.83,fail_offer_rejected,seller_counteroffer,1
5714,2024-07-09T18:00:47.177835Z,,8.38,fail_offer_rejected,bid_offer,1
5714,2024-07-08T18:55:32.943583Z,,7.92,fail_offer_rejected,bid_offer,2
5714,2024-06-23T23:10:53.091740Z,,7.92,fail_offer_rejected,bid_offer,2
5714,2024-06-20T17:15:25.379791Z,,10.64,fail_offer_timeout,seller_counteroffer,2
5714,2024-06-20T17:15:16.974781Z,,10.64,fail_offer_timeout,seller_counteroffer,3
5714,2024-06-20T17:15:06.280488Z,,10.64,fail_offer_timeout,seller_counteroffer,1
5714,2024-06-19T00:55:10.277915Z,,8.35,fail_offer_timeout,bid_offer,2
5714,2024-06-19T00:36:06.003312Z,,8.33,fail_offer_timeout,bid_offer,3
5714,2024-06-17T18:47:40.294612Z,,8.17,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:41:15.446754Z,,8.15,fail_offer_timeout,bid_offer,1
5714,2024-06-17T18:34:08.865756Z,,8.04,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:33:06.913051Z,,8.01,fail_offer_increased,bid_offer,1
5714,2024-06-17T18:28:48.692066Z,,7.81,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:26:40.046834Z,,7.79,fail_offer_increased,bid_offer,1
5714,2024-06-17T18:26:07.403369Z,,7.76,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:25:54.698316Z,,7.74,fail_offer_increased,bid_offer,1
5714,2024-06-17T18:25:01.718788Z,,7.72,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:24:36.570480Z,,7.7,fail_offer_increased,bid_offer,1
5714,2024-06-17T18:19:25.643655Z,,7.47,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:13:30.636194Z,,7.24,fail_offer_increased,bid_offer,1
5714,2024-06-17T18:12:42.865060Z,,7.02,fail_offer_increased,bid_offer,2
5714,2024-06-17T18:11:59.979061Z,,6.79,fail_offer_increased,bid_offer,1
5697,2024-07-09T18:54:28.794932Z,,5.25,filled,bid_offer,2
5697,2024-05-23T19:32:23.506348Z,,5.25,fail_transfer,bid_offer,2
5697,2024-05-23T19:24:08.650738Z,,5.25,fail_offer_rejected,seller_counteroffer,1
